idx,file,T,image_key,image_shape,qpos_key,qpos_shape,qpos_dim,action_key,action_shape,action_dim,num_datasets,status
66,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_69.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
67,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_7.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
68,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_70.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
69,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_71.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
70,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_72.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
71,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_73.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
72,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_74.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
73,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_75.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
74,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_76.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
75,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_77.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
76,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_78.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
77,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_79.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
78,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_8.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
